Feature,Importance
Packet Length Variance,0.1071364523817164
Bwd Packet Length Max,0.08332790006589458
Max Packet Length,0.05960553440964534
Total Length of Fwd Packets,0.05685144289994083
Packet Length Mean,0.056384603838546286
Fwd Packet Length Max,0.04110659012322733
Fwd IAT Std,0.03943171316029713
Flow IAT Max,0.0381649223286759
Fwd Packet Length Mean,0.034627580521442096
Total Fwd Packets,0.033444227350014545
Fwd Header Length,0.03096220447822258
Flow IAT Mean,0.030238315868935373
Bwd Header Length,0.029862174856830532
Flow IAT Std,0.028006670357879408
Destination Port,0.027433798952892118
Init_Win_bytes_backward,0.025721321142802105
act_data_pkt_fwd,0.025682461523189246
PSH Flag Count,0.024175719331737264
Fwd IAT Mean,0.02112914052257264
Init_Win_bytes_forward,0.0194396736823852
Flow Duration,0.018645595566735656
Bwd Packets/s,0.015942755723702122
min_seg_size_forward,0.015456575592092561
Flow Bytes/s,0.014085018904636227
Fwd IAT Min,0.012610274049833312
Bwd Packet Length Min,0.012402164609715566
ACK Flag Count,0.011658934636865905
Flow Packets/s,0.00939029931023211
Fwd Packet Length Min,0.00707701246014324
Active Max,0.0070654622179028926
Active Mean,0.00697803168855633
Bwd IAT Mean,0.006849730791681521
Min Packet Length,0.005888405581364443
Bwd IAT Min,0.005548781639265576
Flow IAT Min,0.005232019582588348
FIN Flag Count,0.004996649865630756
Bwd IAT Std,0.004705030403750557
Bwd IAT Max,0.004436697587604674
Bwd IAT Total,0.004193123067835878
Active Min,0.0037997467191844434
Down/Up Ratio,0.0032037248431821086
URG Flag Count,0.002737332867346614
Idle Std,0.0022254548244465366
Active Std,0.0015252752182222402
Fwd PSH Flags,0.0006128725382653857
Fwd URG Flags,5.795202590904016e-07
RST Flag Count,2.3921089827904946e-09
