Feature,Mean |SHAP value|
Packet Length Variance,0.005619825421623288
Bwd Packet Length Max,0.00452509579603455
Fwd Packet Length Max,0.0036215004274050156
Destination Port,0.003376714766974493
Max Packet Length,0.0033600476658546185
Packet Length Mean,0.0032597108059857047
Total Length of Fwd Packets,0.0030123708111272924
Fwd Packet Length Mean,0.0020925279476811396
PSH Flag Count,0.002071002538874861
Init_Win_bytes_backward,0.0018714406048483808
Bwd Header Length,0.001772026758222068
Total Fwd Packets,0.001653636266930419
Fwd IAT Std,0.0015883894212030314
Init_Win_bytes_forward,0.001508920682702782
Fwd Header Length,0.001505107407060008
Flow IAT Max,0.0014850045141025908
Flow IAT Mean,0.0013857029571114295
Bwd Packet Length Min,0.0013014615717777418
Flow IAT Std,0.0012509469096925018
Bwd Packets/s,0.001145253108914557
act_data_pkt_fwd,0.0010971065752837623
Fwd IAT Mean,0.0010051369322982616
Min Packet Length,0.0009030434525814144
ACK Flag Count,0.000864336159984795
Flow Duration,0.0008128266479093142
min_seg_size_forward,0.0007906649040045638
Flow Bytes/s,0.000687374837568027
Fwd Packet Length Min,0.0006633934204222136
Flow Packets/s,0.0006626189731100745
Fwd IAT Min,0.0005794539733335443
Bwd IAT Min,0.0005280081522261448
Bwd IAT Mean,0.0005140341622460941
FIN Flag Count,0.0004049101934952454
Bwd IAT Max,0.00037256368738274894
Bwd IAT Std,0.0003521478639325571
Active Max,0.0003369236522801881
Bwd IAT Total,0.00033657469616397924
Active Mean,0.0002969994659221841
Flow IAT Min,0.00024013081059486057
Active Min,0.0001971411443771669
URG Flag Count,0.00019221929761423988
Down/Up Ratio,0.00019079229064561664
Fwd PSH Flags,9.535348568346788e-05
Idle Std,7.337561989896737e-05
Active Std,6.602403649514647e-05
Fwd URG Flags,4.96952150900385e-08
RST Flag Count,1.3443351157507071e-09
